GAME, RESOLUTION, TRACE, START FRAME, TOTAL FRAMES, VERTEX ACCESSES, COLOR ACCESSES, DEPTH ACCESSES, TEXTURE ACCESSES, TOTAL ACCESSES, LRU VERTEX MISS, LRU COLOR MISS, LRU DEPTH MISS, LRU TEXTURE MISS, LRU TOTAL MISS, OPT VERTEX MISS, OPT COLOR MISS, OPT DEPTH MISS, OPT TEXTURE MISS, OPT TOTAL MISS, LRU VERTEX COLD MISS, LRU COLOR COLD MISS, LRU DEPTH COLD MISS, LRU TEXTURE COLD MISS, LRU TOTAL COLD MISS, OPT VERTEX COLD MISS, OPT COLOR COLD MISS, OPT DEPTH COLD MISS, OPT TEXTURE COLD MISS, OPT TOTAL COLD MISS, DRAW CALLS
COR, tracefile.txt, 1600x1200, 0, 1, 8, 618080, 0, 0, 618088, 2, 77120, 0, 0, 77122, 0, 0, 0, 0, 0, 2, 77120, 0, 0, 77122, 0, 0, 0, 0, 0, 0
COR, tracefile.txt, 1600x1200, 0, 2, 8, 618080, 0, 0, 618088, 2, 77120, 0, 0, 77122, 0, 0, 0, 0, 0, 2, 77120, 0, 0, 77122, 0, 0, 0, 0, 0, 0
GAME, RESOLUTION, TRACE, START FRAME, TOTAL FRAMES, VERTEX ACCESSES, COLOR ACCESSES, DEPTH ACCESSES, TEXTURE ACCESSES, TOTAL ACCESSES, LRU VERTEX MISS, LRU COLOR MISS, LRU DEPTH MISS, LRU TEXTURE MISS, LRU TOTAL MISS, OPT VERTEX MISS, OPT COLOR MISS, OPT DEPTH MISS, OPT TEXTURE MISS, OPT TOTAL MISS, LRU VERTEX COLD MISS, LRU COLOR COLD MISS, LRU DEPTH COLD MISS, LRU TEXTURE COLD MISS, LRU TOTAL COLD MISS, OPT VERTEX COLD MISS, OPT COLOR COLD MISS, OPT DEPTH COLD MISS, OPT TEXTURE COLD MISS, OPT TOTAL COLD MISS, DRAW CALLS
COR, tracefile.txt, 1600x1200, 0, 1, 8, 618080, 0, 0, 618088, 2, 77120, 0, 0, 77122, 0, 0, 0, 0, 0, 2, 77120, 0, 0, 77122, 0, 0, 0, 0, 0, 0
COR, tracefile.txt, 1600x1200, 0, 2, 8, 618080, 0, 0, 618088, 2, 77120, 0, 0, 77122, 0, 0, 0, 0, 0, 2, 77120, 0, 0, 77122, 0, 0, 0, 0, 0, 0
GAME, RESOLUTION, TRACE, START FRAME, TOTAL FRAMES, VERTEX ACCESSES, COLOR ACCESSES, DEPTH ACCESSES, TEXTURE ACCESSES, TOTAL ACCESSES, LRU VERTEX MISS, LRU COLOR MISS, LRU DEPTH MISS, LRU TEXTURE MISS, LRU TOTAL MISS, OPT VERTEX MISS, OPT COLOR MISS, OPT DEPTH MISS, OPT TEXTURE MISS, OPT TOTAL MISS, LRU VERTEX COLD MISS, LRU COLOR COLD MISS, LRU DEPTH COLD MISS, LRU TEXTURE COLD MISS, LRU TOTAL COLD MISS, OPT VERTEX COLD MISS, OPT COLOR COLD MISS, OPT DEPTH COLD MISS, OPT TEXTURE COLD MISS, OPT TOTAL COLD MISS, DRAW CALLS
COR, tracefile.txt, 1600x1200, 0, 1, 8, 618080, 0, 0, 618088, 2, 77120, 0, 0, 77122, 0, 0, 0, 0, 0, 2, 77120, 0, 0, 77122, 0, 0, 0, 0, 0, 0
COR, tracefile.txt, 1600x1200, 0, 2, 8, 618080, 0, 0, 618088, 2, 77120, 0, 0, 77122, 0, 0, 0, 0, 0, 2, 77120, 0, 0, 77122, 0, 0, 0, 0, 0, 0
GAME, RESOLUTION, TRACE, START FRAME, TOTAL FRAMES, VERTEX ACCESSES, COLOR ACCESSES, DEPTH ACCESSES, TEXTURE ACCESSES, TOTAL ACCESSES, LRU VERTEX MISS, LRU COLOR MISS, LRU DEPTH MISS, LRU TEXTURE MISS, LRU TOTAL MISS, OPT VERTEX MISS, OPT COLOR MISS, OPT DEPTH MISS, OPT TEXTURE MISS, OPT TOTAL MISS, LRU VERTEX COLD MISS, LRU COLOR COLD MISS, LRU DEPTH COLD MISS, LRU TEXTURE COLD MISS, LRU TOTAL COLD MISS, OPT VERTEX COLD MISS, OPT COLOR COLD MISS, OPT DEPTH COLD MISS, OPT TEXTURE COLD MISS, OPT TOTAL COLD MISS, DRAW CALLS
COR, tracefile.txt, 1600x1200, 0, 1, 8, 618080, 0, 0, 618088, 2, 77120, 0, 0, 77122, 0, 0, 0, 0, 0, 2, 77120, 0, 0, 77122, 0, 0, 0, 0, 0, 0
COR, tracefile.txt, 1600x1200, 0, 2, 8, 618080, 0, 0, 618088, 2, 77120, 0, 0, 77122, 0, 0, 0, 0, 0, 2, 77120, 0, 0, 77122, 0, 0, 0, 0, 0, 0
GAME, RESOLUTION, TRACE, START FRAME, TOTAL FRAMES, VERTEX ACCESSES, COLOR ACCESSES, DEPTH ACCESSES, TEXTURE ACCESSES, TOTAL ACCESSES, LRU VERTEX MISS, LRU COLOR MISS, LRU DEPTH MISS, LRU TEXTURE MISS, LRU TOTAL MISS, OPT VERTEX MISS, OPT COLOR MISS, OPT DEPTH MISS, OPT TEXTURE MISS, OPT TOTAL MISS, LRU VERTEX COLD MISS, LRU COLOR COLD MISS, LRU DEPTH COLD MISS, LRU TEXTURE COLD MISS, LRU TOTAL COLD MISS, OPT VERTEX COLD MISS, OPT COLOR COLD MISS, OPT DEPTH COLD MISS, OPT TEXTURE COLD MISS, OPT TOTAL COLD MISS, DRAW CALLS
COR, tracefile.txt, 1600x1200, 0, 1, 8, 618080, 0, 0, 618088, 2, 77120, 0, 0, 77122, 0, 0, 0, 0, 0, 2, 77120, 0, 0, 77122, 0, 0, 0, 0, 0, 0
COR, tracefile.txt, 1600x1200, 0, 2, 8, 618080, 0, 0, 618088, 2, 77120, 0, 0, 77122, 0, 0, 0, 0, 0, 2, 77120, 0, 0, 77122, 0, 0, 0, 0, 0, 0
